id,tag,lat,lon,x,y,z,newgrowth,health,branches,transect,meter,distance,blooms,buds,nest,notes
90,308,34.7881,-115.6621,66,58,57,30,5,600,5,50,3,y,145,y,
91,307,34.78099,-115.66202,99,78,61,40,5,900,5,55,0,y,600,n,
92,306,34.78094,-115.66196,41,30,33,15,4,190,5,60,5,y,30,n,
93,305,34.78095,-115.66192,49,38,52,15,5,450,5,65,0,y,200,n,
94,304,34.78094,-115.66189,32,30,36,30,5,150,5,70,0,y,40,n,
95,303,34.78095,-115.66186,106,100,58,25,3,1500,5,75,1,y,600,n,
96,302,34.78098,-115.88183,31,22,28,20,5,60,5,80,4,y,1,n,
97,301,34.78097,-115.66181,79,47,64,65,5,1200,5,85,2,n,250,n,
98,300,34.78097,-115.66172,45,25,40,18,5,90,5,90,4,y,2,n,
99,299,34.78098,-115.66171,32,16,42,5,4,90,5,95,4,y,5,n,
100,298,34.78094,-115.66168,61,55,47,35,5,900,5,100,0,y,400,n,
